Echo 1
-0.277886 2.5384 -0.170001 
-0.387721 2.16222 -0.206885 
-0.334885 2.52796 -0.35532 
-0.408098 2.28194 -0.43522 
-0.512777 2.32727 -0.464057 
-0.17904 2.5127 -0.217147 
-0.24147 2.48654 -0.296149 
-0.514505 2.04363 -0.302443 
-0.592446 1.87592 -0.177725 
-0.626072 2.004 -0.341091 
-0.663522 1.92907 -0.014706 
-0.545054 2.1003 -0.561627 
-0.595957 2.23538 -0.784206 
-0.823554 2.15787 -0.565715 
-0.847496 1.91275 -0.786171 
-0.442597 1.93621 -0.438549 
-0.528562 1.83159 0.255196 
-0.580703 2.00931 0.308991 
-0.656136 1.79108 0.487263 
-0.705908 2.00318 0.671773 
-0.635263 1.89095 -0.0187784 
-0.60835 1.93932 0.167618 
-0.44075 1.93707 0.200407 
0.332908 2.73461 0.159309 
0.385591 2.09531 0.176849 
0.346114 2.79534 0.347155 
0.375597 2.30869 0.346487 
0.496153 2.58597 0.554268 
0.225581 2.91067 0.207212 
0.329785 2.59601 0.320944 
0.774796 2.17598 0.410012 
0.780842 2.09557 0.170422 
0.653838 1.78557 0.298965 
0.62728 1.87026 -0.0161542 
0.61992 2.20736 0.581274 
0.681205 2.10697 0.650591 
0.677471 2.18124 0.613415 
0.772045 2.0974 0.608979 
0.520524 2.46359 0.458907 
0.534849 1.89579 -0.304606 
0.615088 1.64674 -0.3091 
0.659 1.9272 -0.554853 
0.556277 1.93966 -0.63491 
0.526538 2.18287 -0.0174492 
0.888739 2.18227 -0.261404 
0.495892 2.26585 -0.258857 
-0.140379 2.33796 0.276301 
-0.19659 2.62722 0.413054 
-0.283312 2.20445 0.262179 
-0.376797 2.64689 0.348398 
-0.478513 2.32356 0.487674 
-0.194492 2.51335 0.171684 
-0.248094 2.8919 0.246304 
-0.291976 2.2839 0.635638 
-0.15032 1.86257 0.636543 
-0.380584 1.94083 0.749914 
0 2.20738 0.621514 
-0.490039 1.84728 0.464345 
-0.591833 1.99194 0.63692 
-0.479427 2.08352 0.642038 
-0.613171 1.85774 0.856468 
-0.750631 2.29469 0.670294 
0.259748 1.7647 0.512977 
0.366505 2.02977 0.734829 
0.464335 1.88814 0.598297 
0.527903 1.76126 0.518194 
0 1.92076 0.45939 
0.157652 2.13543 0.64729 
0.359971 2.39448 0.791278 
0.37979 2.03223 -0.552378 
0.253447 2.04234 -0.539241 
0.460506 2.16348 -0.509472 
